expert,mean_cosine,n_novels,novels
Caroline Woodcourt,0.8927,4,"mill_on_the_floss, north_and_south, our_mutual_friend, passage_to_india"
Daniel Rosen,0.8976,4,"mill_on_the_floss, north_and_south, our_mutual_friend, passage_to_india"
Edmund Leigh,0.9029,4,"mill_on_the_floss, north_and_south, our_mutual_friend, passage_to_india"
Eleanor Hartley,0.8757,4,"mill_on_the_floss, north_and_south, our_mutual_friend, passage_to_india"
James Blackstone,0.9129,4,"mill_on_the_floss, north_and_south, our_mutual_friend, passage_to_india"
Oliver Trevelyan,0.8965,4,"mill_on_the_floss, north_and_south, our_mutual_friend, passage_to_india"
