expert,rank,keyword,mean_tfidf
Caroline Woodcourt,1,the,0.5806
Caroline Woodcourt,2,and,0.3322
Caroline Woodcourt,3,is,0.2866
Caroline Woodcourt,4,that,0.262
Caroline Woodcourt,5,of,0.2308
Caroline Woodcourt,6,it,0.2108
Caroline Woodcourt,7,to,0.1889
Caroline Woodcourt,8,in,0.155
Caroline Woodcourt,9,she,0.1431
Caroline Woodcourt,10,he,0.1057
Daniel Rosen,1,the,0.6384
Daniel Rosen,2,is,0.3423
Daniel Rosen,3,and,0.2629
Daniel Rosen,4,that,0.2479
Daniel Rosen,5,of,0.2257
Daniel Rosen,6,to,0.1954
Daniel Rosen,7,it,0.176
Daniel Rosen,8,in,0.1344
Daniel Rosen,9,he,0.0945
Daniel Rosen,10,not,0.0933
Edmund Leigh,1,the,0.5543
Edmund Leigh,2,is,0.4288
Edmund Leigh,3,of,0.2738
Edmund Leigh,4,that,0.2642
Edmund Leigh,5,and,0.2399
Edmund Leigh,6,to,0.1922
Edmund Leigh,7,it,0.1665
Edmund Leigh,8,not,0.1466
Edmund Leigh,9,in,0.1445
Edmund Leigh,10,he,0.0983
Eleanor Hartley,1,the,0.6434
Eleanor Hartley,2,and,0.2946
Eleanor Hartley,3,is,0.2909
Eleanor Hartley,4,that,0.2396
Eleanor Hartley,5,of,0.2286
Eleanor Hartley,6,it,0.1881
Eleanor Hartley,7,to,0.168
Eleanor Hartley,8,in,0.1477
Eleanor Hartley,9,she,0.0942
Eleanor Hartley,10,he,0.0821
James Blackstone,1,the,0.6344
James Blackstone,2,is,0.3333
James Blackstone,3,and,0.2705
James Blackstone,4,of,0.2584
James Blackstone,5,that,0.2463
James Blackstone,6,to,0.1896
James Blackstone,7,it,0.1731
James Blackstone,8,in,0.1722
James Blackstone,9,not,0.104
James Blackstone,10,he,0.0885
Oliver Trevelyan,1,the,0.6265
Oliver Trevelyan,2,and,0.3347
Oliver Trevelyan,3,is,0.2756
Oliver Trevelyan,4,of,0.2406
Oliver Trevelyan,5,that,0.2379
Oliver Trevelyan,6,it,0.1986
Oliver Trevelyan,7,in,0.1615
Oliver Trevelyan,8,to,0.1594
Oliver Trevelyan,9,he,0.1073
Oliver Trevelyan,10,she,0.0994
