novel,condition,panel,total_quotes,tagged_quotes,inline_quotes,verified_count,verification_rate,confabulation_count
our_mutual_friend,transport,v23_hartley_rosen_woodcourt,38,35,3,17,0.447,21
our_mutual_friend,transport,v26_blackstone_woodcourt_edmund,38,36,2,19,0.500,19
our_mutual_friend,transport,v29_rosen_blackstone_trevelyan,42,42,0,25,0.595,17
our_mutual_friend,transport,v30_woodcourt_edmund_trevelyan,43,43,0,16,0.372,27
passage_to_india,embedding,v01_baseline,44,42,2,28,0.636,16
passage_to_india,embedding,v11_rosen_blackstone_woodcourt,51,44,7,31,0.608,20
passage_to_india,embedding,v21_hartley_blackstone_edmund,43,40,3,28,0.651,15
passage_to_india,embedding,v22_hartley_blackstone_rosen,73,63,10,42,0.575,31
passage_to_india,embedding,v23_hartley_rosen_woodcourt,51,50,1,33,0.647,18
passage_to_india,embedding,v26_blackstone_woodcourt_edmund,65,60,5,30,0.462,35
passage_to_india,embedding,v29_rosen_blackstone_trevelyan,50,49,1,30,0.600,20
passage_to_india,embedding,v30_woodcourt_edmund_trevelyan,50,50,0,23,0.460,27
passage_to_india,no_passages,v01_baseline,11,11,0,1,0.091,10
passage_to_india,no_passages,v11_rosen_blackstone_woodcourt,15,14,1,4,0.267,11
passage_to_india,no_passages,v21_hartley_blackstone_edmund,13,13,0,2,0.154,11
passage_to_india,no_passages,v22_hartley_blackstone_rosen,11,11,0,4,0.364,7
passage_to_india,no_passages,v23_hartley_rosen_woodcourt,13,13,0,2,0.154,11
passage_to_india,no_passages,v26_blackstone_woodcourt_edmund,10,9,1,2,0.200,8
passage_to_india,no_passages,v29_rosen_blackstone_trevelyan,13,13,0,2,0.154,11
passage_to_india,no_passages,v30_woodcourt_edmund_trevelyan,15,14,1,3,0.200,12
passage_to_india,transport,v01_baseline,31,25,6,25,0.806,6
passage_to_india,transport,v11_rosen_blackstone_woodcourt,24,24,0,17,0.708,7
passage_to_india,transport,v21_hartley_blackstone_edmund,33,32,1,22,0.667,11
passage_to_india,transport,v22_hartley_blackstone_rosen,40,32,8,34,0.850,6
passage_to_india,transport,v23_hartley_rosen_woodcourt,32,29,3,27,0.844,5
passage_to_india,transport,v26_blackstone_woodcourt_edmund,27,26,1,21,0.778,6
passage_to_india,transport,v29_rosen_blackstone_trevelyan,37,33,4,25,0.676,12
passage_to_india,transport,v30_woodcourt_edmund_trevelyan,38,36,2,18,0.474,20
