novel,novel_title,panel,passage_jaccard,chapter_jaccard,provision_distance,vocab_cosine,char_jaccard
mill_on_the_floss,The Mill on the Floss,v01_baseline,0.03333333333333333,0.26666666666666666,0.7698368815765952,0.7060408960436341,0.2777777777777778
mill_on_the_floss,The Mill on the Floss,v11_rosen_blackstone_woodcourt,0.03508771929824561,0.25806451612903225,0.7932801472752501,0.642250939163344,0.26666666666666666
mill_on_the_floss,The Mill on the Floss,v21_hartley_blackstone_edmund,0.017241379310344827,0.16666666666666666,0.6686623406263409,0.6877327910269476,0.4666666666666667
mill_on_the_floss,The Mill on the Floss,v22_hartley_blackstone_rosen,0.038461538461538464,0.20689655172413793,0.7680759071690465,0.6441359962256108,0.26666666666666666
mill_on_the_floss,The Mill on the Floss,v23_hartley_rosen_woodcourt,0.034482758620689655,0.14705882352941177,0.6782776619753107,0.6924191808678656,0.5
mill_on_the_floss,The Mill on the Floss,v26_blackstone_woodcourt_edmund,0.017241379310344827,0.058823529411764705,1.0607283671378658,0.6498762841370374,0.46153846153846156
mill_on_the_floss,The Mill on the Floss,v29_rosen_blackstone_trevelyan,0.01694915254237288,0.21875,0.8858879798005513,0.6144640291783208,0.47368421052631576
mill_on_the_floss,The Mill on the Floss,v30_woodcourt_edmund_trevelyan,0.017857142857142856,0.21212121212121213,1.0475335615148567,0.6299124484067892,0.6923076923076923
north_and_south,North and South,v01_baseline,0.03508771929824561,0.21428571428571427,0.6497974131994464,0.6947783744829819,0.25
north_and_south,North and South,v11_rosen_blackstone_woodcourt,0.03571428571428571,0.18518518518518517,0.8009101701138001,0.6265981834211578,0.2857142857142857
north_and_south,North and South,v21_hartley_blackstone_edmund,0.017857142857142856,0.14814814814814814,0.8333769780237512,0.6970305686563865,0.4375
north_and_south,North and South,v22_hartley_blackstone_rosen,0.03571428571428571,0.2222222222222222,0.5223873512524214,0.6831205804785923,0.5454545454545454
north_and_south,North and South,v23_hartley_rosen_woodcourt,0.01639344262295082,0.2903225806451613,0.7123760480454406,0.7066976565476812,0.7142857142857143
north_and_south,North and South,v26_blackstone_woodcourt_edmund,0.017543859649122806,0.28,0.7026704761539618,0.6598945074555923,0.4117647058823529
north_and_south,North and South,v29_rosen_blackstone_trevelyan,0.01639344262295082,0.20689655172413793,0.6362023291944471,0.654662081250915,0.5
north_and_south,North and South,v30_woodcourt_edmund_trevelyan,0.015625,0.18181818181818182,0.5520484719838539,0.670150384535565,0.3157894736842105
our_mutual_friend,Our Mutual Friend,v01_baseline,0.07017543859649122,0.34615384615384615,0.6810557954434677,0.6249738196662136,0.44
our_mutual_friend,Our Mutual Friend,v11_rosen_blackstone_woodcourt,0.04838709677419355,0.24,0.729065813568455,0.6033975128845593,0.32142857142857145
our_mutual_friend,Our Mutual Friend,v21_hartley_blackstone_edmund,0.06349206349206349,0.3333333333333333,0.5659356536307613,0.6541270260785798,0.65
our_mutual_friend,Our Mutual Friend,v22_hartley_blackstone_rosen,0.06451612903225806,0.25,0.561825727559844,0.6275084491617201,0.5238095238095238
our_mutual_friend,Our Mutual Friend,v23_hartley_rosen_woodcourt,0.0847457627118644,0.2,0.5428961396896133,0.6198370788578131,0.38461538461538464
our_mutual_friend,Our Mutual Friend,v26_blackstone_woodcourt_edmund,0.06451612903225806,0.26666666666666666,0.659589995599447,0.654269818831413,0.3333333333333333
our_mutual_friend,Our Mutual Friend,v29_rosen_blackstone_trevelyan,0.06451612903225806,0.21875,0.6627086813074633,0.6205774208194681,0.5454545454545454
our_mutual_friend,Our Mutual Friend,v30_woodcourt_edmund_trevelyan,0.06896551724137931,0.2413793103448276,0.3706169449379372,0.6516550231292679,0.3023255813953488
passage_to_india,A Passage to India,v01_baseline,0.09803921568627451,0.4074074074074074,0.36552072203563235,0.6885375920914892,0.3181818181818182
passage_to_india,A Passage to India,v11_rosen_blackstone_woodcourt,0.09803921568627451,0.2916666666666667,0.48921105433918316,0.6777357703618602,0.23809523809523808
passage_to_india,A Passage to India,v21_hartley_blackstone_edmund,0.07017543859649122,0.37037037037037035,0.3895972486833302,0.6951586886750871,0.5
passage_to_india,A Passage to India,v22_hartley_blackstone_rosen,0.10909090909090909,0.2692307692307692,0.4720913598116,0.7030969558607192,0.42857142857142855
passage_to_india,A Passage to India,v23_hartley_rosen_woodcourt,0.11320754716981132,0.3333333333333333,0.35759393820354085,0.6908085009317089,0.42105263157894735
passage_to_india,A Passage to India,v26_blackstone_woodcourt_edmund,0.05172413793103448,0.26666666666666666,0.3699072662536241,0.6719068215623393,0.43478260869565216
passage_to_india,A Passage to India,v29_rosen_blackstone_trevelyan,0.05084745762711865,0.37037037037037035,0.5223746994267895,0.6717151284614051,0.42857142857142855
passage_to_india,A Passage to India,v30_woodcourt_edmund_trevelyan,0.09259259259259259,0.18518518518518517,0.3383254348935973,0.664944382862949,0.4117647058823529
