novel,novel_title,n_panels,passage_jaccard,chapter_jaccard,provision_distance,vocab_cosine,char_jaccard
mill_on_the_floss,The Mill on the Floss,8,0.026331800466751556,0.1918809957811115,0.8340353558844772,0.6583540706311937,0.4256635177687809
north_and_south,North and South,8,0.023791147309873042,0.21610982300359385,0.6762211547458903,0.6741165421036089,0.4325635906276386
our_mutual_friend,Our Mutual Friend,8,0.06616428323909578,0.2620353945623342,0.5967118439671236,0.6320432686786294,0.43762086750458845
passage_to_india,A Passage to India,8,0.0854645642975633,0.31177884615384616,0.41307771545591215,0.6829879801009447,0.3976274824471082
